artist_id,artist_name,main_genre,tracks_count,genres_count,avg_popularity,max_popularity,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_acousticness,avg_instrumentalness,avg_duration_ms,appeal_score,cost,duration_minutes,is_headliner
0,IVE,k-pop,3,1,84.0,88,0.737,0.7873333333333333,0.6413333333333333,120.97766666666666,0.056163333333333336,1.81e-05,177537.33333333334,76.43037420366981,40938,90,1
1,Chimbala,latino,2,1,76.5,77,0.8089999999999999,0.8755,0.9035,129.0225,0.2975,0.01615057,204421.5,75.9741122050774,42865,90,1
2,ITZY,k-pop,7,1,72.14285714285714,78,0.823857142857143,0.8551428571428571,0.6545714285714286,120.30371428571428,0.08698714285714286,0.00016942142857142854,178763.42857142858,75.74770150432116,39631,90,1
3,TWICE,k-pop,17,1,72.47058823529412,86,0.704,0.8701764705882352,0.6503529411764707,133.05629411764704,0.10510588235294117,0.0001452570588235294,201826.0,75.32327900356277,39119,90,1
4,Stray Kids,k-pop,23,2,72.6086956521739,82,0.7258695652173913,0.8198695652173913,0.5975652173913043,123.66491304347826,0.08954826086956523,5.008695652173913e-07,188273.1739130435,75.22978701206155,40733,90,1
5,Harry Styles,pop,3,1,92.0,95,0.5293333333333333,0.7593333333333333,0.6270000000000001,147.75,0.26866666666666666,0.0006733333333333334,169535.33333333334,74.99156755008866,46906,90,1
6,FISHER,disco,2,2,74.0,75,0.7655000000000001,0.9235,0.769,126.0055,0.003885,0.354535,213169.5,74.98102208441007,40581,90,1
7,Tiago PZK,latino,4,1,77.0,82,0.8202499999999999,0.7705,0.6040000000000001,98.49775,0.1085,0.0160504375,212357.25,74.92212026668702,39968,90,1
8,Kep1er,k-pop,2,1,73.5,74,0.769,0.9195,0.8015000000000001,125.005,0.01086,3.71e-06,187859.5,74.71451343461948,42175,90,1
9,LE SSERAFIM,k-pop,4,1,78.0,83,0.82625,0.73575,0.6852499999999999,115.25975,0.139,0.00081,187828.75,74.67415757470638,40859,90,1
10,Selena Gomez & The Scene,dance,2,1,79.0,81,0.77,0.8025,0.833,109.01400000000001,0.0802,0.0,192033.0,74.49308414081155,41547,90,1
11,Måneskin,indie-pop,5,1,82.6,86,0.6487999999999999,0.7636000000000001,0.6454,124.0554,0.026636,0.0,194964.6,74.03656004301278,42990,90,1
12,Lil Nas X,hip-hop,8,1,82.75,90,0.729875,0.6395,0.65675,144.946625,0.112205,2.7875e-07,165559.125,73.67407163913239,42539,90,1
13,Shouse,house,2,1,79.5,81,0.6739999999999999,0.835,0.2414,124.515,0.00857,0.1786535,200032.5,73.40320534958155,41761,90,1
14,Calvin Harris,progressive-house,44,4,66.29545454545455,89,0.6991818181818181,0.838090909090909,0.6212272727272727,121.75331818181817,0.13725725,0.015511856136363635,221121.70454545456,73.33594574414451,39802,90,1
15,BTS,k-pop,165,6,68.08484848484848,92,0.6271272727272728,0.7542424242424243,0.5220842424242425,122.91244242424243,0.10812581818181818,5.0912121212121215e-05,223929.5090909091,73.26686016927057,39931,90,1
16,TV Girl,indie-pop,3,1,81.66666666666667,83,0.618,0.8116666666666666,0.5763333333333333,107.82866666666666,0.26300251,0.0018923333333333333,193581.33333333334,73.23485499273315,41289,90,1
17,Eminem,hardcore,31,5,68.7741935483871,88,0.7423870967741936,0.7699354838709677,0.5255677419354838,121.078,0.15468290322580644,0.00011763387096774193,275894.67741935485,73.08268736769458,40402,90,1
18,Mora,latino,6,2,80.33333333333333,89,0.7376666666666667,0.6696666666666666,0.4443333333333333,136.9715,0.3075,1.85e-05,220951.16666666666,72.88933016291591,43741,90,1
19,Dr. Dre,funk,12,3,68.91666666666667,84,0.7561666666666667,0.8109166666666666,0.5701666666666667,111.50599999999999,0.09364349999999999,0.0019892008333333333,249226.41666666666,72.57590803580672,38266,90,1
20,One Direction,pop,5,1,83.0,88,0.6528,0.6881999999999999,0.5368,116.2782,0.24126599999999998,0.0,218466.4,72.43094907315447,43106,90,1
21,aespa,k-pop,7,1,73.14285714285714,78,0.6584285714285715,0.8365714285714285,0.6247142857142858,110.03985714285714,0.17722857142857143,0.00022752,206189.7142857143,72.06714155372195,38887,90,1
22,Morgan Wallen,country,3,1,83.33333333333333,86,0.6166666666666667,0.7290000000000001,0.5343333333333333,155.22166666666666,0.3313333333333333,0.00035727999999999997,190114.33333333334,71.94716718712719,41005,90,1
23,Jhay Cortez,latin,3,3,77.66666666666667,80,0.8016666666666666,0.6699999999999999,0.38599999999999995,99.98700000000001,0.29673333333333335,1.74e-05,225163.0,71.8380484629481,44172,90,1
24,Regard,edm,4,2,74.75,81,0.74675,0.7555000000000001,0.731,116.26774999999999,0.07965,1.6075e-05,181330.0,71.79974231743267,38934,90,1
25,2Pac,funk,17,2,68.23529411764706,81,0.7966470588235294,0.7274117647058823,0.6522941176470588,101.93535294117648,0.12249764705882352,0.0005095858823529413,263951.0,71.7459046481069,37399,90,1
26,LISA,k-pop,4,3,73.5,78,0.8065,0.7195,0.659,122.54025,0.0494925,0.0026883,205029.0,71.62336007281715,38510,90,1
27,NCT DREAM,k-pop,2,1,70.5,73,0.813,0.813,0.662,97.0155,0.0269,0.0,200473.0,71.56156282142632,39662,90,1
28,Dynoro,deep-house,2,2,74.5,79,0.7324999999999999,0.798,0.174,112.9585,0.15899999999999997,0.0150055,198420.0,71.33951905122014,41083,90,1
29,BLACKPINK,k-pop,43,2,69.44186046511628,87,0.6980232558139535,0.6953720930232558,0.5436976744186047,124.48920930232558,0.10690465116279069,5.591837209302326e-05,194858.13953488372,71.22229672470347,38183,90,1
30,Ruth B.,pop,2,1,85.5,90,0.591,0.7035,0.356,109.32900000000001,0.03005,0.0,251218.5,71.18194886360311,44728,90,1
31,The Clash,punk-rock,3,1,72.33333333333333,80,0.7113333333333333,0.8283333333333333,0.7993333333333333,120.175,0.09383333333333332,0.0,191853.0,71.17733874421567,38421,90,1
32,Dido,hip-hop,2,2,79.5,85,0.7525,0.6755,0.6345000000000001,80.0235,0.16855,0.00012017000000000001,311233.0,71.16101254997092,40061,90,1
33,Steve Edwards,disco,3,1,68.33333333333333,73,0.7043333333333334,0.903,0.7293333333333334,125.62866666666666,0.05428666666666667,0.0022516666666666666,184869.0,70.93651972939774,36215,90,1
34,Culture Beat,techno,2,1,65.0,68,0.6895,0.9964999999999999,0.3955,132.87150000000003,0.060200000000000004,0.14275000000000002,297153.0,70.7078352640947,37409,90,1
35,Farruko,latino,20,4,67.95,86,0.7045,0.75875,0.497725,138.03320000000002,0.0844175,0.041057592,244384.05,70.6563651476937,37149,90,1
36,Prezioso,dance,2,2,69.0,80,0.7125,0.894,0.4455,112.6225,0.061649999999999996,8.655e-05,156451.5,70.60891353092124,36759,90,1
37,Stromae,house,3,1,74.0,78,0.7713333333333333,0.717,0.569,119.65166666666666,0.051,0.0006856333333333333,202262.66666666666,70.54403255021565,39583,90,1
38,YOASOBI,j-pop,31,1,63.774193548387096,76,0.6654838709677419,0.8343870967741935,0.7156129032258065,124.61832258064517,0.14217612903225804,0.0001611251612903226,225873.48387096773,70.53142898989864,36546,90,1
39,Red Velvet,k-pop,6,1,69.83333333333333,75,0.6735000000000001,0.8346666666666667,0.5568333333333334,130.4755,0.19210000000000002,0.0004283333333333333,203053.16666666666,70.45450366518358,41005,90,1
40,ZICO,k-pop,3,1,69.33333333333333,78,0.8256666666666667,0.754,0.6233333333333334,136.37933333333334,0.05624666666666667,0.0,207618.0,70.40581304944753,36380,90,1
41,Milky Chance,german,4,1,71.25,80,0.7847500000000001,0.734,0.68425,117.5065,0.394995,0.008220775,245328.0,70.39945081772012,37139,90,1
42,Roshini JKV,pop-film,2,1,67.0,70,0.7889999999999999,0.8545,0.8685,129.0375,0.603,0.00031605,244632.5,70.35294811220106,37003,90,1
43,House Of Pain,hard-rock,2,1,69.5,74,0.8325,0.7665,0.8225,106.911,0.0333,4.7560000000000005e-05,216746.0,70.34294871716001,36323,90,1
44,HVME,hip-hop,2,2,78.0,81,0.804,0.626,0.6235,124.9315,0.3715,0.0,163005.0,70.33908626134662,41649,90,1
45,SEVENTEEN,k-pop,15,2,70.46666666666667,80,0.6964,0.7258,0.6622666666666667,114.412,0.21064000000000002,2.74e-07,187956.13333333333,70.30227666391667,36819,90,1
46,Becky G,reggae,21,8,62.80952380952381,85,0.7907142857142857,0.7607142857142857,0.6675714285714286,101.32247619047618,0.15034333333333333,0.00033367285714285715,201166.7619047619,70.22038976286085,35801,90,1
47,El Alfa,latino,5,2,63.4,82,0.8262,0.8216000000000001,0.6325999999999999,123.7814,0.07443999999999999,0.00130364,223449.6,70.07174780754544,38048,90,1
48,Sigala,edm,7,3,68.0,77,0.6622857142857143,0.8518571428571429,0.5772857142857143,119.15485714285715,0.11174285714285714,1.62e-06,182928.2857142857,70.02129909763391,34228,90,1
49,Mark Ronson,dance,3,2,78.33333333333333,83,0.6816666666666666,0.691,0.559,115.73766666666667,0.009426666666666667,2.873e-05,241768.33333333334,70.00393961504881,40685,90,1
50,Bettye LaVette,chill,2,1,68.5,72,0.667,0.92,0.146,114.977,0.00752,0.00232,358983.0,69.99760474951006,39778,90,1
51,ROSALÍA,latino,5,3,73.2,83,0.7484,0.696,0.5660000000000001,119.8264,0.048620000000000003,1.1024e-05,230369.2,69.97357144864847,40306,90,1
52,j-hope,k-pop,12,1,70.41666666666667,83,0.7120000000000001,0.713,0.50025,98.88066666666667,0.16538583333333332,0.07550261166666668,155207.58333333334,69.86522592620213,37541,90,1
53,Travis Scott,house,23,5,72.30434782608695,84,0.7220434782608696,0.6150869565217392,0.3099304347826087,137.24004347826087,0.10703217391304347,1.2518695652173913e-05,215438.95652173914,69.85987237851387,36992,90,1
54,Doja Cat,dance,15,4,68.06666666666666,90,0.7351333333333333,0.7196666666666667,0.5647333333333333,126.58273333333334,0.14568,0.00292797,183299.4,69.84180164019511,37435,90,1
55,Sukh-E Muzical Doctorz,pop,3,2,64.33333333333333,66,0.786,0.8616666666666667,0.7843333333333332,100.623,0.36366666666666664,2.3899999999999996e-06,183642.33333333334,69.77200093803849,35485,90,1
56,(G)I-DLE,k-pop,5,1,72.2,80,0.6317999999999999,0.8112,0.3888,128.2166,0.02247,1.446e-06,195152.0,69.76264752327617,38030,90,1
57,Neha Kakkar,pop-film,30,5,61.56666666666667,77,0.7118333333333333,0.8077333333333333,0.6742333333333334,116.43486666666666,0.23696133333333333,8.877566666666667e-05,218550.76666666666,69.75361525053721,31531,90,1
58,LUM!X,dance,3,3,68.66666666666667,80,0.7306666666666667,0.8223333333333334,0.568,119.13100000000001,0.06083333333333333,0.008287466666666667,172710.66666666666,69.66627325712803,37912,90,1
59,MARINA,alternative,6,1,70.83333333333333,78,0.6533333333333333,0.8013333333333333,0.6621666666666667,129.0145,0.1317865,1.6833333333333332e-06,198814.33333333334,69.65619151212543,36071,90,1
60,Sidhu Moose Wala,hip-hop,70,2,63.17142857142857,78,0.6871285714285714,0.7231285714285715,0.6080285714285714,115.29412857142857,0.184843,1.3574285714285713e-06,219761.27142857143,69.62336405177734,35925,90,1
61,Rage Against The Machine,alt-rock,3,2,75.33333333333333,80,0.4923333333333333,0.903,0.574,119.61066666666666,0.0173,0.020056866666666666,249746.33333333334,69.61372132591268,40785,90,1
62,SZA,dance,4,3,77.75,83,0.71925,0.63375,0.54425,101.21875,0.294875,0.06861030000000001,211405.75,69.59825082913795,41298,90,1
63,Deorro,progressive-house,5,2,65.4,71,0.7444,0.8356,0.4774,127.97179999999999,0.058640000000000005,0.13220129600000002,215728.2,69.56957587382745,36629,90,1
64,Badshah,hip-hop,37,7,58.972972972972975,74,0.7643783783783784,0.7854864864864864,0.6668108108108108,120.99575675675675,0.1512545945945946,0.0033672335135135137,203364.0,69.53587527355992,36049,90,1
65,AP Dhillon,hip-hop,29,1,68.62068965517241,83,0.7804827586206897,0.6028620689655173,0.4186724137931035,109.21751724137931,0.1658896551724138,0.035455409310344826,177077.7931034483,69.5337935603126,37776,90,1
66,Bananarama,disco,2,1,66.5,67,0.694,0.9159999999999999,0.923,117.307,0.17915,0.3154,222245.0,69.52356893341178,36265,90,1
67,Lijo George-Dj Chetas,pop,3,1,66.66666666666667,68,0.6346666666666666,0.941,0.7653333333333333,85.60533333333335,0.385,3.23e-06,194174.33333333334,69.51439037736333,37155,90,1
68,Tame Impala,alternative,2,2,70.5,82,0.7355,0.7995000000000001,0.6625000000000001,109.0155,0.07825,0.023451645,222379.5,69.48778361393298,36315,90,1
69,Rvfv,latino,6,1,73.83333333333333,79,0.7461666666666668,0.6531666666666667,0.59,123.255,0.3295,0.0029495100000000002,164730.66666666666,69.48652417244448,38785,90,1
70,Beach Bunny,indie-pop,3,1,78.0,82,0.4653333333333334,0.8676666666666667,0.7256666666666667,136.96699999999998,0.0009046666666666668,0.012342066666666665,149359.0,69.42747274141945,40186,90,1
71,Jasmine Sandlas,pop,2,1,66.0,67,0.8140000000000001,0.8140000000000001,0.4965,94.0025,0.06225,0.001715,194303.0,69.40794325113204,37467,90,1
72,Yo Yo Honey Singh,hip-hop,25,3,60.72,69,0.73052,0.8079999999999999,0.65644,135.21496,0.1599412,0.0026793844000000005,229135.8,69.39109115973994,34987,90,1
73,MHD,dancehall,2,2,62.5,65,0.9319999999999999,0.776,0.7949999999999999,110.5095,0.0875,3.37e-05,199198.5,69.3850891929684,37194,90,1
74,Vagu Mazan,pop-film,2,1,68.0,70,0.722,0.847,0.56,110.96549999999999,0.1085,7.81e-05,259139.0,69.15385932436125,37980,90,1
75,Thoughtsfornow,pop-film,2,1,68.0,70,0.722,0.847,0.56,110.96549999999999,0.1085,7.81e-05,259139.0,69.15385932436125,38677,90,1
76,Devi Sri Prasad,pop-film,3,2,67.33333333333333,74,0.8486666666666668,0.7223333333333333,0.7096666666666667,124.97000000000001,0.4086666666666667,0.022400343333333333,225848.33333333334,69.14841305831204,36387,90,1
77,IU,k-pop,7,1,69.0,73,0.7177142857142857,0.7475714285714287,0.6644285714285714,110.7097142857143,0.15834285714285715,2.7e-07,198303.42857142858,69.13628580273058,36166,90,1
78,Anirudh Ravichander,hip-hop,96,6,62.385416666666664,80,0.6416041666666666,0.7316979166666666,0.5696708333333333,123.65851041666667,0.2841414583333333,0.0592668321875,214511.78125,69.09705154196398,33064,90,1
79,Rag'n'Bone Man,soul,3,2,73.0,78,0.6576666666666666,0.7796666666666666,0.5036666666666667,122.58766666666668,0.22466666666666668,0.00016766666666666666,222998.66666666666,69.0813954959949,36999,90,1
80,Limp Bizkit,alternative,6,3,73.83333333333333,77,0.5339999999999999,0.8251666666666667,0.47136666666666666,103.722,0.09254833333333333,0.06313811333333334,255668.66666666666,69.04936595163807,37013,90,1
81,Creepy Nuts,j-pop,4,1,63.25,70,0.702,0.9095,0.8167500000000001,130.49425,0.11845,3.2e-06,217591.75,69.03467781493065,37214,90,1
82,Village People,disco,2,1,68.0,70,0.7324999999999999,0.8325,0.784,126.5425,0.12714999999999999,0.0,244686.5,69.02533593243166,39160,90,1
83,Rammstein,industrial,76,2,61.9078947368421,77,0.5671842105263158,0.8235526315789473,0.39209736842105264,128.73602631578947,0.021039260921052634,0.14467706263157895,250573.88157894736,69.01037546560846,36197,90,1
84,Yun Head,sad,2,1,64.0,68,0.7849999999999999,0.863,0.6335,133.767,0.106,0.00785,139068.0,69.00915273660233,34582,90,1
85,SHAUN,k-pop,2,1,72.0,73,0.741,0.743,0.5015000000000001,102.928,0.337,9.15e-05,203294.0,68.92776114100982,37904,90,1
86,AC/DC,hard-rock,28,1,68.10714285714286,85,0.5040714285714286,0.8376071428571429,0.5557857142857142,130.10389285714285,0.028863551071428573,0.08938387964285714,253958.7142857143,68.90848457576874,37680,90,1
87,Little Mix,dance,5,5,69.4,79,0.5913999999999999,0.8674,0.5502,117.7548,0.11526,7.6e-05,197190.2,68.89786108273195,36876,90,1
88,Pav Dharia,pop,2,1,73.0,76,0.779,0.688,0.7605,92.021,0.0771,0.0,199619.5,68.88846912841325,39629,90,1
89,ATEEZ,k-pop,4,1,68.25,74,0.61075,0.88725,0.52825,122.98175,0.048647499999999996,2.75e-06,201884.25,68.87926041018655,36627,90,1
90,CJ,hardcore,2,2,63.5,72,0.9065000000000001,0.756,0.518,127.501,0.17909999999999998,0.001655,165193.0,68.80172608736113,35099,90,1
91,Hamsika Iyer,dance,2,2,65.5,71,0.7315,0.873,0.903,152.01850000000002,0.07905,6.3085e-05,227707.0,68.79574783179514,36596,90,1
92,Bingo Players,progressive-house,2,1,63.5,69,0.751,0.8935,0.5425,126.0075,0.010545,0.40950343,159531.5,68.76817823155777,33199,90,1
93,Inner Circle,reggae,2,1,70.5,72,0.784,0.725,0.7364999999999999,130.442,0.12419999999999999,0.000199,228220.5,68.70545158516063,37622,90,1
94,Matt Sassari,techno,6,2,58.333333333333336,79,0.8341666666666666,0.8438333333333333,0.6761666666666667,126.17766666666667,0.002832833333333333,0.15789748333333334,194932.83333333334,68.65672884498049,32218,90,1
95,System Of A Down,metal,12,2,72.75,83,0.4271666666666667,0.8731666666666666,0.37860833333333327,119.9495,0.057568916666666664,0.0048303425,204569.75,68.64560729250083,38973,90,1
96,J. Cole,hip-hop,4,3,75.75,88,0.65875,0.68775,0.45525,125.122,0.23745,0.0196,266260.25,68.61955683152772,38545,90,1
97,Ray Parker Jr.,disco,3,1,67.33333333333333,70,0.7816666666666667,0.7606666666666667,0.7520000000000001,115.47333333333334,0.0117,0.02669366666666667,241728.66666666666,68.60956723910549,37370,90,1
